X,Micros
0.0,4
0.0,1296
0.0,2580
-0.0,3864
-0.01,5208
-0.01,6536
-0.02,7896
-0.02,9180
-0.02,10512
-0.03,11852
-0.03,13156
-0.03,14484
-0.04,15768
-0.04,17076
-0.04,18352
-0.03,19688
-0.03,20972
-0.03,22336
-0.04,23620
-0.04,25292
-0.05,26644
-0.05,27988
-0.05,29332
-0.06,30612
-0.06,31884
-0.06,33228
-0.07,34576
-0.07,35920
-0.07,37200
-0.07,38480
-0.07,39768
-0.07,41064
-0.07,42344
-0.07,43664
-0.08,44980
-0.08,46256
-0.09,47588
-0.09,48928
-0.09,50208
-0.1,51488
-0.1,52768
-0.11,54160
-0.11,55436
-0.11,56724
-0.11,58016
-0.11,59356
-0.11,60632
-0.11,61904
-0.11,63200
-0.11,64532
-0.12,65924
-0.13,67268
-0.13,68544
-0.13,69816
-0.13,71100
-0.14,72440
-0.15,73828
-0.15,75104
-0.15,76452
-0.15,77724
-0.15,79000
-0.15,80276
-0.15,81568
-0.15,82908
-0.15,84244
-0.16,85524
-0.17,86924
-0.17,88292
-0.17,89580
-0.17,90868
-0.18,92148
-0.18,93480
-0.19,94816
-0.19,96160
-0.19,97436
-0.19,98724
-0.19,100016
-0.19,101296
-0.19,102580
-0.19,103860
-0.2,105236
-0.2,106572
-0.21,107908
-0.21,109188
-0.21,110472
-0.22,111800
-0.22,113184
-0.23,114472
-0.23,115800
-0.23,117088
-0.23,118384
-0.23,119668
-0.23,120952
-0.23,122292
-0.23,123572
-0.24,124904
-0.25,126296
-0.25,127576
-0.25,128912
-0.25,130192
-0.26,131520
-0.26,132804
-0.27,134136
-0.27,135464
-0.27,136748
-0.27,138028
-0.27,139316
-0.27,140596
-0.27,141884
-0.27,143164
-0.27,144448
-0.28,145784
-0.29,147128
-0.29,148460
-0.29,149732
-0.3,151016
-0.3,152336
-0.3,153620
-0.31,154952
-0.31,156240
-0.31,157532
-0.31,158872
-0.31,160152
-0.31,161436
-0.31,162708
-0.31,163988
-0.32,165324
-0.32,166668
-0.33,168000
-0.33,169272
-0.33,170556
-0.34,171944
-0.34,173228
-0.35,174560
-0.35,175840
-0.35,177124
-0.35,178400
-0.35,179688
-0.35,180976
-0.35,182248
-0.35,183520
-0.36,184912
-0.36,186252
-0.37,187592
-0.37,188872
-0.37,190172
-0.38,191448
-0.38,192780
-0.39,194116
-0.39,195452
-0.39,196736
-0.39,198024
-0.39,199368
-0.39,200648
-0.39,201924
-0.39,203200
-0.4,204488
-0.4,205768
-0.41,207148
-0.41,208476
-0.42,209760
-0.42,211044
-0.42,212384
-0.43,213728
-0.43,215060
-0.43,216404
-0.43,217736
