X,Micros
0.0,4
0.0,1248
0.0,2524
-0.0,3764
-0.01,5012
-0.06,7968
-0.05,9292
-0.05,10544
-0.08,11984
-0.14,14628
-0.17,16308
-0.19,17768
-0.21,19244
-0.23,20776
-0.26,22288
-0.28,23820
-0.3,25384
-0.33,27176
-0.35,28624
-0.38,30240
-0.4,31812
-0.43,33476
-0.46,35112
-0.48,36596
-0.5,38128
-0.53,39760
-0.56,41340
-0.58,42968
-0.61,44636
-0.63,46112
-0.66,47636
-0.68,49220
-0.71,50912
-0.74,52492
-0.76,54136
-0.79,55756
-0.81,57272
-0.84,58808
-0.86,60388
-0.89,62040
-0.91,63604
-0.94,65236
-0.97,66880
-0.99,68344
-1.01,69852
-1.04,71424
-1.06,73028
-1.09,74740
-1.12,76260
-1.14,77820
-1.17,79384
-1.19,80928
-1.22,82528
-1.25,84216
-1.27,85756
-1.29,87304
-1.32,88876
-1.34,90464
-1.37,92088
-1.39,93608
-1.42,95240
-1.44,96784
-1.47,98336
-1.49,99968
-1.53,102336
-1.56,103880
-1.58,105464
-1.61,107004
-1.63,108484
-1.66,110100
-1.68,111740
-1.71,113384
-1.74,115000
-1.76,116472
-1.78,118032
-1.81,119652
-1.83,121212
-1.86,122796
-1.89,124408
-1.91,126028
-1.93,127664
-1.96,129188
-1.98,130764
-2.01,132396
-2.03,133944
-2.06,135564
-2.08,137148
-2.11,138612
-2.13,140248
-2.16,141824
-2.18,143384
-2.21,144956
-2.23,146480
-2.26,148124
-2.28,149608
-2.31,151184
-2.33,152852
-2.36,154396
-2.38,155972
-2.41,157488
-2.43,158956
-2.45,160532
-2.48,162048
-2.5,163620
-2.53,165292
-2.55,166828
-2.58,168388
-2.6,169896
-2.63,171464
-2.65,173128
-2.68,174760
-2.71,176332
-2.73,177868
-2.75,179332
-2.78,180960
-2.81,182564
-2.83,184140
-2.86,185724
-2.88,187240
-2.9,188804
-2.93,190496
-2.96,192072
-2.98,193640
-3.01,195340
-3.03,196868
-3.06,198412
-3.08,199972
-3.1,201508
-3.13,203104
-3.16,204732
-3.18,206264
-3.2,207816
-3.23,209348
-3.25,210972
-3.28,212512
-3.3,214048
-3.33,215708
-3.35,217168
-3.38,218628
-3.4,220148
-3.43,221776
-3.45,223372
-3.48,225028
-3.5,226552
-3.52,228020
-3.55,229568
-3.57,231144
-3.6,232768
-3.63,234344
-3.65,235928
-3.67,237484
-3.7,238960
-3.72,240592
-3.75,242216
-3.78,243784
-3.8,245428
-3.83,246944
-3.85,248468
-3.88,249992
-3.9,251884
-3.93,253464
-3.96,255100
-3.98,256636
-4.0,258172
-4.03,259744
-4.05,261308
-4.08,262944
-4.11,264488
-4.13,266116
-4.15,267644
-4.18,269156
-4.2,270732
-4.23,272300
-4.26,273876
-4.28,275496
-4.31,277380
-4.33,278856
-4.36,280464
-4.39,282052
-4.41,283604
-4.44,285304
-4.46,286876
-4.49,288396
-4.51,289936
-4.54,291520
-4.56,293144
-4.59,294712
-4.61,296228
-4.64,297848
-4.66,299364
-4.69,300940
-4.72,302632
-4.74,304316
-4.77,305912
-4.79,307476
-4.82,308972
-4.84,310656
-4.87,312228
-4.9,313808
-4.92,315444
-4.95,316972
-4.97,318496
-5.0,320104
-5.02,321680
-5.04,323200
-5.07,324816
-5.11,327044
-5.13,328524
-5.15,330048
-5.18,331656
-5.2,333232
-5.23,334856
-5.26,336444
-5.28,337952
-5.3,339516
-5.33,341036
-5.35,342660
-5.38,344212
-5.41,345836
-5.43,347412
-5.45,348908
-5.48,350484
-5.5,352184
-5.52,353776
-5.55,355524
-5.58,357068
-5.6,358548
-5.62,360080
-5.65,361604
-5.68,363264
-5.7,364956
-5.73,366492
-5.75,368032
-5.78,369596
-5.8,371192
-5.83,372800
-5.85,374356
-5.87,375928
-5.89,377528
