X,Micros
0.0,4
0.0,1224
0.0,2416
0.01,3624
0.01,7744
-0.01,9508
0.02,11828
0.03,13140
0.03,14336
0.03,17796
0.06,21160
0.08,22580
0.09,25512
0.1,26872
0.12,29720
0.16,31632
0.21,33488
0.25,35532
0.31,37936
0.37,40232
0.43,42596
0.49,45540
0.56,48340
0.62,50972
0.68,53432
0.76,56520
0.82,59120
0.88,61856
0.94,64112
1.01,66948
1.07,69476
1.13,72192
1.19,74412
1.25,77324
1.28,78984
1.35,81732
1.41,84244
1.47,86756
1.54,89400
1.6,92076
1.65,94728
1.72,97524
1.78,99856
1.84,102340
1.91,105084
1.96,107240
2.03,110420
2.07,112336
2.14,115080
2.2,117696
2.25,119928
2.32,122636
2.38,125236
2.42,127360
2.48,129820
2.55,132696
2.6,134740
2.68,137836
2.73,140020
2.79,142576
2.85,145596
2.9,147856
2.97,150360
3.03,152944
3.09,155504
3.16,158312
3.2,160392
3.27,162824
3.33,165364
3.38,167440
3.43,169872
3.5,172660
3.55,174756
3.6,176988
3.65,179228
3.7,181444
3.77,184064
3.82,186448
3.89,189052
3.94,191268
3.99,193620
4.04,195604
4.1,198240
4.15,200504
4.22,203136
4.28,205568
4.34,208076
4.39,210608
4.44,212696
4.49,214872
4.55,217380
4.61,219740
4.66,221956
4.73,224824
4.78,226872
4.82,228844
4.89,231716
4.95,233992
5.0,236280
5.06,238748
5.12,241184
5.18,243564
5.23,245720
5.28,248072
5.34,250532
5.4,252912
5.46,255548
5.52,257956
5.57,260236
5.62,262096
5.68,264840
5.74,267116
5.79,269460
5.85,271924
5.91,274444
5.97,277092
6.02,279476
6.07,281456
6.13,284064
6.19,286332
6.24,288576
6.3,291088
6.36,293716
6.41,295872
6.46,298072
6.52,300524
6.57,302712
6.62,304740
6.68,307264
6.74,309592
6.8,312148
6.84,314256
6.91,316740
6.97,319236
7.01,321284
7.07,323732
7.13,325984
7.18,328336
7.24,330680
7.3,333168
7.35,335428
7.42,338176
7.47,340164
7.53,342656
7.59,345052
7.64,347460
7.69,349620
7.76,352344
7.81,354596
7.87,357044
7.93,359412
7.97,361392
8.03,364112
8.09,366476
8.15,368968
8.22,371548
8.27,373736
8.32,376120
8.38,378644
8.43,380936
8.49,383456
8.55,385756
8.6,387912
8.66,390500
8.72,392920
8.77,395304
8.83,397676
8.88,399800
8.94,402432
9.01,404964
9.07,407448
9.12,409548
9.17,411916
9.23,414192
9.29,416652
9.35,419136
9.41,421540
9.46,423924
9.52,426136
9.58,428612
9.64,431312
9.69,433408
9.76,436168
9.82,438636
9.88,441104
9.92,443264
9.98,445784
10.04,447996
10.1,450500
10.15,452724
10.21,455108
10.27,457496
10.32,459908
10.37,461960
10.43,464260
10.49,466652
10.55,469316
10.61,471684
10.66,473808
10.71,476564
10.77,478936
10.82,481060
10.88,483448
10.93,485752
10.99,488060
11.05,490492
11.11,493144
11.17,495572
11.22,497832
11.27,499952
11.34,502672
11.4,505184
11.45,507356
11.51,509832
11.57,512244
11.62,514324
11.68,516848
11.73,519136
11.79,521500
11.86,524184
11.9,526424
11.95,528848
12.01,531432
12.07,533644
12.12,535920
12.18,538440
12.23,540580
12.29,543044
12.34,545076
12.39,547376
12.45,549692
12.5,552032
12.56,554500
12.62,556780
12.67,559076
12.69,560612
12.76,563376
12.81,565628
12.86,567680
12.92,569960
12.98,572368
13.03,574680
13.06,576740
13.13,579588
13.2,582080
13.25,584228
13.3,586476
13.35,588492
13.41,591012
13.44,593168
13.49,595176
13.55,597628
13.6,599556
13.66,602156
13.71,604396
13.76,606536
13.82,608888
13.86,611344
13.91,613396
13.97,615836
14.01,617920
14.07,620284
14.12,622464
14.17,624644
14.22,626752
14.27,628920
14.33,631320
14.38,633464
14.43,635740
14.5,638352
14.54,640440
14.6,642724
14.65,645016
14.7,647080
14.76,649476
14.81,651820
14.87,654068
14.93,656444
14.98,658824
15.04,661076
15.09,663416
15.15,665880
15.2,667924
15.26,670444
15.32,672640
15.36,674724
15.43,677780
15.48,679820
15.54,682216
15.59,684536
15.64,686720
15.71,689420
15.77,691788
15.81,693892
15.87,696276
15.93,698812
15.99,701088
16.04,703296
16.1,705576
16.15,708028
16.2,710136
16.26,712424
16.31,714608
16.37,717084
16.42,719060
16.48,721520
16.54,723972
16.59,726356
16.64,728440
16.69,730592
16.75,732872
16.81,735624
16.86,737648
16.92,740184
16.97,742388
17.02,744760
17.07,746836
17.14,749400
17.19,751648
17.24,753864
17.3,756268
17.36,758616
17.41,760852
17.47,763384
17.52,765496
17.58,767792
17.65,770440
17.7,772632
17.76,775228
17.81,777604
17.86,779720
17.92,782084
17.99,784816
18.03,786816
18.08,788956
18.15,791500
18.2,794156
18.25,796416
